iter	RMSE
0	38.31297047
1	37.44298266
2	36.60747416
3	35.86174345
4	35.11004926
5	34.34412756
6	33.58324117
7	32.87568423
8	32.19336019
9	31.4865209
10	30.86443527
11	30.21632945
12	29.5847594
13	28.98673312
14	28.38312928
15	27.78241518
16	27.22690982
17	26.700182
18	26.19592028
19	25.67503865
20	25.19254671
21	24.67723858
22	24.21947081
23	23.73549459
24	23.28400928
25	22.84427564
26	22.40110063
27	22.00114445
28	21.59759782
29	21.2067187
30	20.80732146
31	20.42876473
32	20.06238276
33	19.72678452
34	19.38023616
35	19.04776257
36	18.70633725
37	18.39289788
38	18.08639765
39	17.77284992
40	17.46803106
41	17.17615546
42	16.88150738
43	16.5875036
44	16.3241971
45	16.0840322
46	15.8548332
47	15.59685057
48	15.34332177
49	15.11432508
50	14.87940783
51	14.6785722
52	14.44472236
53	14.24055335
54	14.04859925
55	13.84670554
56	13.6646301
57	13.48621654
58	13.29666053
59	13.12997105
60	12.95244813
61	12.76637768
62	12.60557699
63	12.44392235
64	12.29247107
65	12.13889489
66	11.97749499
67	11.82948897
68	11.70446217
69	11.56492198
70	11.42847114
71	11.2983981
72	11.15670143
73	11.04584482
74	10.92548443
75	10.81149713
76	10.70117408
77	10.56898104
78	10.45330797
79	10.33260269
80	10.21665934
81	10.09994688
82	9.980150814
83	9.871418958
84	9.769039411
85	9.660276712
86	9.575804801
87	9.472167525
88	9.387607715
89	9.294708286
90	9.203357115
91	9.124705116
92	9.041534874
93	8.956068332
94	8.878339582
95	8.797947166
96	8.716770566
97	8.62415726
98	8.54792025
99	8.485201154
100	8.415000326
101	8.347845732
102	8.281834668
103	8.199678202
104	8.13272085
105	8.076898986
106	8.018396074
107	7.963675184
108	7.913577569
109	7.855267435
110	7.799191657
111	7.740770273
112	7.683445696
113	7.629734714
114	7.576703211
115	7.528934647
116	7.468742008
117	7.407197333
118	7.360047469
119	7.311779917
120	7.256174442
121	7.206140891
122	7.163127655
123	7.107531397
124	7.061020938
125	7.017289766
126	6.977276196
127	6.923204126
128	6.875641268
129	6.842426423
130	6.802655594
131	6.757890603
132	6.730836978
133	6.692888071
134	6.656681101
135	6.615474772
136	6.566514939
137	6.527063369
138	6.494622223
139	6.457512305
140	6.425431886
141	6.395101304
142	6.362809744
143	6.329085557
144	6.295351484
145	6.259229167
146	6.237248239
147	6.205330451
148	6.181802834
149	6.145167488
150	6.118951793
151	6.087624899
152	6.054939576
153	6.048884064
154	6.019746716
155	5.994008733
156	5.967128032
157	5.933280527
158	5.911625498
159	5.885691193
160	5.850556401
161	5.816867692
162	5.782210012
163	5.757113487
164	5.729463077
165	5.709275011
166	5.677851798
167	5.643560643
168	5.612746326
169	5.585345861
170	5.557311058
171	5.534641586
172	5.507107944
173	5.480246754
174	5.462932572
175	5.455394533
176	5.425486762
177	5.398387427
178	5.384352927
179	5.365270379
180	5.346033672
181	5.320210223
182	5.295651629
183	5.275716524
184	5.260263591
185	5.234209809
186	5.210590111
187	5.187826997
188	5.169009389
189	5.151783109
190	5.133283631
191	5.11954633
192	5.098454853
193	5.086136061
194	5.069485934
195	5.055982453
196	5.039651105
197	5.021124867
198	4.996046724
199	4.98469129
200	4.966630282
201	4.950547583
202	4.929779314
203	4.911751938
204	4.885515793
205	4.86291642
206	4.842199365
207	4.832785456
208	4.817542394
209	4.795926509
210	4.775743199
211	4.762539986
212	4.754722126
213	4.732632163
214	4.718588145
215	4.701729414
216	4.686182609
217	4.667414836
218	4.650093456
219	4.64389093
220	4.627963763
221	4.61287476
222	4.604521725
223	4.58733853
224	4.570905484
225	4.553532523
226	4.540078712
227	4.526467738
228	4.519314976
229	4.510718523
230	4.4998272
231	4.48274121
232	4.464816634
233	4.450245834
234	4.43204334
235	4.413698299
236	4.398204843
237	4.386192324
238	4.373866986
239	4.363659675
240	4.353934001
241	4.339185919
242	4.330238349
243	4.315158284
244	4.296746433
245	4.280518723
246	4.271608914
247	4.259291791
248	4.247640471
249	4.239302668
250	4.221621862
251	4.213318512
252	4.203644362
253	4.18844659
254	4.175190012
255	4.165099522
256	4.157194277
257	4.141647411
258	4.133242228
259	4.11593607
260	4.100380453
261	4.088788522
262	4.080910403
263	4.066556455
264	4.058497317
265	4.046087368
266	4.035711253
267	4.026549969
268	4.014026795
269	4.0007331
270	3.984377194
271	3.974764285
272	3.965771199
273	3.951171967
274	3.942513366
275	3.92964391
276	3.915909898
277	3.905479839
278	3.897806772
279	3.883640073
280	3.870602354
281	3.862866432
282	3.852816591
283	3.844847254
284	3.840684174
285	3.828890566
286	3.817497571
287	3.810827818
288	3.798588449
289	3.791737148
290	3.784167683
291	3.774269253
292	3.762594863
293	3.75465448
294	3.7462994
295	3.740524754
296	3.729522518
297	3.715433236
298	3.704817245
299	3.699855119
300	3.689676447
301	3.678657418
302	3.672646409
303	3.663610623
304	3.657661598
305	3.648216499
306	3.633241967
307	3.621794122
308	3.610091264
309	3.598413401
310	3.587884631
311	3.576253728
312	3.570816829
313	3.560656986
314	3.552061207
315	3.539246002
316	3.526955329
317	3.518186043
318	3.506198651
319	3.496615896
320	3.488118853
321	3.477712126
322	3.470030235
323	3.459841798
324	3.453264564
325	3.444228097
326	3.433826924
327	3.42682723
328	3.415836854
329	3.404934214
330	3.396565387
331	3.387551595
332	3.37961905
333	3.372290122
334	3.361929356
335	3.354198757
336	3.347397198
337	3.338897907
338	3.332650136
339	3.326089325
340	3.317761008
341	3.31094991
342	3.300114411
343	3.291890062
344	3.283445501
345	3.279319122
346	3.270738809
347	3.263048219
348	3.254420538
349	3.244500099
350	3.233681467
351	3.223595214
352	3.215108871
353	3.206861432
354	3.197566313
355	3.187979614
356	3.183307492
357	3.174773851
358	3.16763035
359	3.158313981
360	3.149669646
361	3.14100903
362	3.133968083
363	3.127208645
364	3.119087189
365	3.109314818
366	3.10133762
367	3.095738167
368	3.08807837
369	3.081279385
370	3.073311275
371	3.067031887
372	3.059736777
373	3.054812186
374	3.048906892
375	3.04279506
376	3.035450526
377	3.026872143
378	3.018869743
379	3.01591656
380	3.014668249
381	3.005690921
382	3.000456493
383	2.993685185
384	2.992774923
385	2.983597454
386	2.975445346
387	2.96951532
388	2.962780564
389	2.96163751
390	2.955453808
391	2.948514985
392	2.947230903
393	2.938744249
394	2.932754263
395	2.924156721
396	2.915277375
397	2.910468887
398	2.902966474
399	2.899309204
400	2.890903883
401	2.887090027
402	2.878510682
403	2.877950376
404	2.871326562
405	2.870152449
406	2.86253924
407	2.857064139
408	2.85114508
409	2.846955391
410	2.839995633
411	2.835940644
412	2.828809324
413	2.823787507
414	2.81747396
415	2.812160373
416	2.80736136
417	2.800975102
418	2.794697715
419	2.78752148
420	2.779677223
421	2.774612998
422	2.767720528
423	2.760242834
424	2.759196729
425	2.75244057
426	2.745182998
427	2.73644556
428	2.731237713
429	2.73080885
430	2.7245066
431	2.720189978
432	2.714028825
433	2.713448913
434	2.707724139
435	2.701921136
436	2.697668407
437	2.69049341
438	2.689878444
439	2.683203518
440	2.676350935
441	2.669134931
442	2.66839342
443	2.663977955
444	2.663492248
445	2.657884993
446	2.645870122
447	2.642541937
448	2.635897195
449	2.627097967
450	2.622723343
451	2.619351761
452	2.613017679
453	2.606674047
454	2.601684244
455	2.596336936
456	2.59109187
457	2.590544216
458	2.586172519
459	2.580646504
460	2.575170117
461	2.568951135
462	2.564907483
463	2.558188175
464	2.553437603
465	2.544906223
466	2.539074097
467	2.536750589
468	2.536253247
469	2.532384743
470	2.528659762
471	2.524484996
472	2.518945353
473	2.513860026
474	2.510574193
475	2.506146433
476	2.500745896
477	2.493836975
478	2.489476255
479	2.486160687
480	2.481389533
481	2.474961789
482	2.469278502
483	2.463795364
484	2.45872467
485	2.454024383
486	2.453555339
487	2.447453771
488	2.443592961
489	2.438117384
490	2.432475383
491	2.42610581
492	2.420052378
493	2.414162691
494	2.411149538
495	2.409076793
496	2.4056388
497	2.399916506
498	2.396054552
499	2.390684679
500	2.384202511
501	2.381376178
502	2.376319838
503	2.372863969
504	2.365263774
505	2.360866509
506	2.35730136
507	2.35434075
508	2.349699414
509	2.346253983
510	2.340921657
511	2.334061782
512	2.329950298
513	2.3241143
514	2.320269928
515	2.315548583
516	2.312110598
517	2.305486332
518	2.300235938
519	2.295086047
520	2.28945296
521	2.285412894
522	2.280853035
523	2.277141105
524	2.271416771
525	2.266892123
526	2.26218123
527	2.25753351
528	2.253498682
529	2.248446414
530	2.245886705
531	2.244832785
532	2.239821718
533	2.236675291
534	2.23354248
535	2.227004571
536	2.222225389
537	2.21922727
538	2.214479451
